날짜,종가,오픈,고가,저가,변동 %
2021년 05월 06일,64.88,65.06,65.94,64.51,-0.32%
2021년 05월 07일,64.81,64.86,65.2,63.88,-0.11%
2021년 05월 09일,65.44,65.36,65.53,65.16,0.97%
2021년 05월 10일,64.95,65.44,65.72,63.93,-0.75%
2021년 05월 11일,65.5,64.94,65.53,63.66,0.85%
2021년 05월 12일,65.69,65.53,66.59,64.95,0.29%
2021년 05월 13일,63.82,65.72,65.78,63.09,-2.85%
2021년 05월 14일,65.49,63.81,65.58,63.34,2.62%
2021년 05월 16일,65.53,65.53,65.69,65.42,0.06%
2021년 05월 17일,66.34,65.55,66.42,64.84,1.24%
2021년 05월 18일,65.17,66.33,67,64.11,-1.76%
2021년 05월 19일,63.34,65.17,65.2,61.95,-2.81%
2021년 05월 20일,62.09,63.33,63.92,61.66,-1.97%
2021년 05월 21일,63.84,62.08,64.04,61.55,2.82%
2021년 05월 23일,63.62,63.77,63.78,63.62,-0.34%
2021년 05월 24일,66,63.64,66.11,63.64,3.74%
2021년 05월 25일,65.89,66,66.48,65.39,-0.17%
2021년 05월 26일,66.11,65.92,66.41,65.23,0.33%
2021년 05월 27일,67.3,66.09,67.44,65.45,1.80%
2021년 05월 28일,66.64,67.31,67.5,66.16,-0.98%
2021년 05월 30일,66.56,66.67,66.72,66.52,-0.12%
2021년 05월 31일,66.94,66.56,67.39,66.39,0.57%
2021년 06월 01일,67.91,66.94,68.85,66.88,1.45%
2021년 06월 02일,68.72,67.87,68.98,67.77,1.19%
2021년 06월 03일,68.75,68.71,69.38,68.17,0.04%
2021년 06월 04일,69.39,68.77,69.75,68.33,0.93%
